actor,predicted_class,levels,total_time,mean_time,total_stars,mean_stars
7A7B3274,5ème,27,4783.779,83.92594736842106,94,2.6857142857142855
7A9AFFD7,4ème,31,2663.569,52.2268431372549,93,3.0
7C14AE8A,4ème,25,2790.5109999999995,42.280469696969696,89,2.966666666666667
7C705387,4ème,25,2783.208,81.85905882352941,65,2.6
7C9FEBC4,4ème,38,4094.7,46.007865168539325,132,2.933333333333333
7C9FEBC5,4ème,26,3034.397,54.18566071428571,88,2.933333333333333
7CA07007,5ème,19,3079.38,76.9845,79,2.8214285714285716
7CF3AACE,3ème,17,1779.2849999999999,80.87659090909091,45,2.6470588235294117
7D492FAB,5ème,19,2748.2960000000003,78.52274285714286,69,2.76
7E9BEE91,5ème,9,407.39799999999997,45.266444444444446,26,2.888888888888889
7F503B0E,5ème,25,4864.131,69.48758571428571,91,2.757575757575758
7FD55D71,3ème,17,1085.261,63.83888235294118,45,2.6470588235294117
811683F8,4ème,22,3370.491,76.60206818181818,68,2.6153846153846154
8183F692,CM1,17,3937.5,187.5,48,2.823529411764706
821E379C,5ème,24,4397.692,99.94754545454545,75,2.5
8273E703,4ème,11,718.447,51.31764285714286,31,2.8181818181818183
83DCEECE,CP,3,220.317,73.43900000000001,9,3.0
84451277,5ème,30,3087.267,67.11449999999999,88,2.933333333333333
84655F2E,CM2,22,3557.8100000000004,56.473174603174606,69,2.875
84CDAAF,3ème,33,2770.118,57.710791666666665,86,2.606060606060606
853CE995,4ème,6,154.374,25.729,15,2.5
85C38B6E,3ème,19,1913.4800000000002,59.79625,37,1.9473684210526316
8650FD7,4ème,9,893.4230000000001,63.81592857142857,27,3.0
86D94A54,5ème,14,797.838,41.991473684210526,42,3.0
8817AF44,3ème,20,1154.6480000000001,46.185919999999996,60,3.0
8A3BD516,Master2,40,2225.371,48.37763043478261,111,2.775
8AB00E5B,5ème,41,9752.462,159.87642622950818,105,2.5609756097560976
8ABC2B63,3ème,9,610.674,61.0674,27,3.0
8B10E317,5ème,15,857.148,45.113052631578945,43,2.8666666666666667
8BE1920F,5ème,11,543.534,41.81030769230769,33,3.0
8C5B31C4,6ème,7,357.26599999999996,51.038,15,1.875
8CBF5C4,6ème,8,153.53500000000003,19.191875,23,2.875
8D71E679,5ème,29,5684.5380000000005,82.38460869565218,93,2.735294117647059
8D8A2918,3ème,21,1364.229,59.31430434782609,57,2.7142857142857144
8DE0D912,5ème,22,3364.665,98.96073529411764,39,1.7727272727272727
8E03CE0B,6ème,10,1038.773,94.43390909090908,29,2.6363636363636362
8E68B1AA,5ème,34,5302.467000000001,67.11983544303797,86,2.5294117647058822
8ED9DD02,6ème,4,156.702,39.1755,11,2.75
8EEE4F82,4ème,22,1882.5990000000002,62.753299999999996,65,2.9545454545454546
8FE5EBB8,5ème,13,515.975,30.351470588235294,38,2.923076923076923
91053B38,4ème,16,1439.2820000000002,75.7516842105263,42,2.625
9130CAE9,4ème,29,3031.888,53.19101754385965,102,2.914285714285714
9156EE5F,CE1,14,1128.95,62.71944444444445,40,2.857142857142857
91BC4C94,4ème,3,251.722,83.90733333333333,9,3.0
91BC4CB1,4ème,16,1396.1229999999998,48.142172413793105,46,2.875
923C816C,CP,7,1119.929,159.98985714285715,19,2.7142857142857144
92A4A207,4ème,16,1657.1660000000002,82.8583,45,2.8125
9324C6FD,5ème,5,118.983,23.7966,15,3.0
93655853,4ème,17,881.796,33.915230769230774,47,2.764705882352941
94FD4CFD,3ème,37,3449.656,78.40127272727273,97,2.6216216216216215
94FD4D1C,3ème,14,1591.788,79.5894,29,2.0714285714285716
95347542,5ème,30,4039.719,66.22490163934427,84,2.8
95B8AAB2,3ème,34,2939.389,61.23727083333333,88,2.588235294117647
95F16D28,5ème,31,3690.147,65.89548214285715,90,2.903225806451613
960617EF,3ème,18,1888.4270000000001,104.9126111111111,38,2.111111111111111
96BE298A,CE1,9,348.998,38.77755555555555,17,1.8888888888888888
96DD66A6,4ème,29,3741.2350000000006,77.94239583333334,86,2.9655172413793105
96DD66C9,4ème,31,17433.89,111.75570512820512,102,2.914285714285714
96FCEB22,4ème,8,516.706,64.58825,23,2.875
9779ABC6,4ème,19,1897.942,65.44627586206897,56,2.9473684210526314
979A87BA,5ème,1,231.12300000000002,115.56150000000001,3,3.0
98A39DE2,5ème,18,2759.351,86.22971875,47,2.611111111111111
98B40AA,4ème,7,1187.316,131.924,18,2.5714285714285716
98B7536D,5ème,30,4174.391,60.49842028985507,83,2.7666666666666666
99B05706,CE1,1,34.113,34.113,3,3.0
9B09F048,5ème,7,518.5169999999999,57.61300000000001,21,3.0
9B478256,5ème,18,1806.941,75.28920833333333,47,2.611111111111111
9B665DE5,4ème,18,2050.0860000000002,60.29664705882354,52,2.888888888888889
9BC4D87,5ème,3,177.46499999999997,59.155,9,3.0
9C28A46E,5ème,18,1461.875,48.729166666666664,54,3.0
